,gene_name,tpm
96,1700003F12Rik,18.18832
97,1700003G18Rik,0.137364
98,1700003H04Rik,0.0
99,1700003I16Rik,1.98379
100,1700003I22Rik,0.0
101,1700003L19Rik,0.0
102,1700003M07Rik,0.228804
103,1700003O11Rik,0.0
104,1700003P14Rik,0.0
105,1700006A11Rik,0.0
106,1700006F04Rik,0.0
107,1700006H21Rik,0.0
108,1700006J14Rik,0.6694874000000001
109,1700007F19Rik,0.0
110,1700007H22Rik,0.0
111,1700007J10Rik,1.034966
112,1700007L15Rik,4.7964617
113,1700007M16Rik,0.0
114,1700007P06Rik,0.0
115,1700008B11Rik,2.05492
116,1700008C04Rik,0.095244
117,1700008J07Rik,1.29247
118,1700008K24Rik,0.0
119,1700008N11Rik,0.0
120,1700008O03Rik,1.27455133
121,1700008P02Rik,0.0
122,1700009C05Rik,0.0
123,1700009J07Rik,0.0
124,1700009N14Rik,0.0
125,1700010B08Rik,0.0
126,1700010B13Rik,0.034712
127,1700010D01Rik,0.0
128,1700010G06Rik,0.0
129,1700010H22Rik,0.0
130,1700010I02Rik,0.213899
131,1700010I14Rik,2.8582910000000004
132,1700010J16Rik,0.0
133,1700010K23Rik,0.0
134,1700010K24Rik,5.86366
135,1700010L04Rik,0.0
136,1700011B04Rik,0.0
137,1700011C11Rik,0.0
138,1700011D18Rik,0.0
139,1700011L03Rik,0.147242
140,1700011L22Rik,0.0
141,1700011M02Rik,0.0
142,1700012A03Rik,0.0
143,1700012B07Rik,0.0
144,1700012B09Rik,0.0
145,1700012C08Rik,0.0
146,1700012C14Rik,0.0
147,1700012D16Rik,0.0
148,1700012E03Rik,0.0
149,1700012I11Rik,0.065559
150,1700012J15Rik,0.0
151,1700013D24Rik,0.0
152,1700013G24Rik,0.0
153,1700013H16Rik,0.0
154,1700013M08Rik,0.0
155,1700013N06Rik,0.0
156,1700014B07Rik,0.366572
157,1700014D04Rik,0.0
158,1700014F14Rik,0.0
159,1700014L14Rik,0.0
160,1700015C15Rik,0.428852
161,1700015C17Rik,0.0
162,1700015G11Rik,0.0
163,1700015H07Rik,0.0
164,1700015I17Rik,0.0277184
165,1700015O11Rik,0.735075
166,1700016B01Rik,0.0
167,1700016C15Rik,0.0
168,1700016D06Rik,0.0
169,1700016F12Rik,0.0
170,1700016G22Rik,0.0
171,1700016H03Rik,0.0
172,1700016H13Rik,0.0
173,1700016J18Rik,1.62617
174,1700016K05Rik,0.0
175,1700016K19Rik,0.0
176,1700016L21Rik,0.277726
177,1700016P03Rik,2.033518
178,1700016P04Rik,0.0
179,1700017B05Rik,53.774212999999996
180,1700017G19Rik,0.0936393
181,1700017I07Rik,0.0
182,1700017J07Rik,0.0
183,1700017L05Rik,0.0
184,1700017M07Rik,0.0751395
185,1700017N19Rik,0.0
186,1700018A04Rik,0.0
187,1700018A23Rik,0.363414
188,1700018B08Rik,0.0
189,1700018B24Rik,0.0
190,1700018F24Rik,0.266408
191,1700018G05Rik,0.0
192,1700018L02Rik,0.703872
193,1700018P08Rik,0.0
194,1700019A02Rik,0.0
195,1700019C18Rik,0.0
196,1700019D03Rik,0.015413901348659999
197,1700019E08Rik,0.309354
198,1700019F05Rik,0.0
199,1700019G24Rik,0.0
200,1700019J19Rik,0.0
201,1700019L13Rik,0.0432358
202,1700019N19Rik,0.0
203,1700019P21Rik,0.0
204,1700020A23Rik,0.0
205,1700020D12Rik,0.0
206,1700020D14Rik,0.0
207,1700020G17Rik,0.0
208,1700020L13Rik,0.16289730000000002
209,1700020L24Rik,0.357778
210,1700020M21Rik,0.0
211,1700020N01Rik,1.197756
212,1700020N15Rik,0.0
213,1700020N18Rik,0.0
214,1700021A07Rik,0.0
215,1700021F02Rik,0.0
216,1700021F07Rik,0.0
217,1700021F13Rik,0.0
218,1700021G15Rik,0.0
219,1700021J08Rik,0.671081
220,1700021L23Rik,0.0
221,1700021N21Rik,0.0
222,1700021P04Rik,0.0
223,1700022A22Rik,0.0
224,1700022E09Rik,0.0
225,1700022H01Rik,0.0
226,1700022H16Rik,0.0
227,1700022I11Rik,0.13636
228,1700022N22Rik,1.541824
229,1700023C21Rik,0.0
230,1700023F02Rik,0.0
231,1700023G09Rik,0.0
232,1700023H06Rik,0.0
233,1700024B05Rik,0.0
234,1700024B18Rik,0.0
235,1700024G13Rik,0.0
236,1700024I08Rik,0.0
237,1700025B11Rik,0.0
238,1700025C18Rik,0.0
239,1700025D23Rik,0.0
240,1700025F24Rik,0.0
241,1700025G04Rik,4.7770756
242,1700025H01Rik,0.0
243,1700025J12Rik,0.0
244,1700025K04Rik,0.0
245,1700025K24Rik,0.0
246,1700025L06Rik,0.0
247,1700025M24Rik,0.0
248,1700025N21Rik,0.0
249,1700025N23Rik,0.0
250,1700025O08Rik,0.0
251,1700026D11Rik,0.0
252,1700026F02Rik,0.0970601
253,1700026J12Rik,0.0
254,1700026J14Rik,0.0
255,1700026N04Rik,0.0
256,1700027A07Rik,0.0
257,1700027A15Rik,4.500988
258,1700027F06Rik,0.0
259,1700027F09Rik,0.0
260,1700027H10Rik,0.0
261,1700027I24Rik,0.0
262,1700027J07Rik,0.0
263,1700028D13Rik,0.123403
264,1700028E10Rik,0.7215919
265,1700028I16Rik,0.0
266,1700028J19Rik,1.946977
267,1700028K03Rik,0.0
268,1700028M03Rik,0.0
269,1700028N14Rik,0.0
270,1700028P15Rik,0.0
271,1700029B22Rik,0.0
272,1700029E06Rik,0.0
273,1700029F12Rik,0.0
274,1700029H14Rik,0.0
